name, code, section
서연, A007860, 1
태평양물산, A007980, 1
사조동아원, A008040, 1
대덕, A008060, 1
대덕1우, A00806K, 1
대동전자, A008110, 1
이건산업, A008250, 1
NI스틸, A008260, 1
남선알미늄, A008350, 1
남선알미우, A008355, 1
문배철강, A008420, 1
서흥, A008490, 1
일정실업, A008500, 1
메리츠증권, A008560, 1
윌비스, A008600, 1
아남전자, A008700, 1
율촌화학, A008730, 1
호텔신라, A008770, 1
호텔신라우, A008775, 1
금비, A008870, 1
한미사이언스, A008930, 1
동양철관, A008970, 1
KCTC, A009070, 1
경인전자, A009140, 1
삼성전기, A009150, 1
삼성전기우, A009155, 1
SIMPAC, A009160, 1
한솔로지스틱스, A009180, 1
대양금속, A009190, 1
무림페이퍼, A009200, 1
한샘, A009240, 1
신원, A009270, 1
신원우, A009275, 1
광동제약, A009290, 1
참엔지니어링, A009310, 1
대우부품, A009320, 1
태영건설, A009410, 1
태영건설우, A009415, 1
한올바이오파마, A009420, 1
KC그린홀딩스, A009440, 1
경동나비엔, A009450, 1
한창제지, A009460, 1
삼화전기, A009470, 1
한국조선해양, A009540, 1
무림P&P, A009580, 1
모토닉, A009680, 1
삼정펄프, A009770, 1
엔케이물산, A009810, 1
한화솔루션, A009830, 1
한화솔루션우, A009835, 1
영원무역홀딩스, A009970, 1
한국내화, A010040, 1
우리종금, A010050, 1
OCI, A010060, 1
한국프랜지, A010100, 1
LS ELECTRIC, A010120, 1
고려아연, A010130, 1
삼성중공업, A010140, 1
삼성중공우, A010145, 1
우진아이엔에스, A010400, 1
한솔PNS, A010420, 1
지코, A010580, 1
웰바이오텍, A010600, 1
현대미포조선, A010620, 1
진양폴리, A010640, 1
화천기계, A010660, 1
화신, A010690, 1
평화홀딩스, A010770, 1
아이에스동서, A010780, 1
퍼스텍, A010820, 1
S-Oil, A010950, 1
S-Oil우, A010955, 1
삼호개발, A010960, 1
진원생명과학, A011000, 1
LG이노텍, A011070, 1
에넥스, A011090, 1
CJ씨푸드, A011150, 1
CJ씨푸드1우, A011155, 1
롯데케미칼, A011170, 1
HMM, A011200, 1
현대위아, A011210, 1
삼화전자, A011230, 1
태림포장, A011280, 1
성안, A011300, 1
유니켐, A011330, 1
부산산업, A011390, 1
갤럭시아에스엠, A011420, 1
한농화성, A011500, 1
유양디앤유, A011690, 1
한신기계, A011700, 1
현대상사, A011760, 1
금호석유, A011780, 1
금호석유우, A011785, 1
SKC, A011790, 1
STX, A011810, 1
신성이엔지, A011930, 1
DB, A012030, 1
영흥, A012160, 1
키위미디어그룹, A012170, 1
계양전기, A012200, 1
계양전기우, A012205, 1
영화금속, A012280, 1
경동인베스트, A012320, 1
현대모비스, A012330, 1
한화에어로스페이스, A012450, 1
더존비즈온, A012510, 1
센트럴인사이트, A012600, 1
경인양행, A012610, 1
HDC, A012630, 1
모나리자, A012690, 1
에스원, A012750, 1
대창, A012800, 1
세우글로벌, A013000, 1
일성건설, A013360, 1
화승알앤에이, A013520, 1
디와이, A013570, 1
계룡건설, A013580, 1
까뮤이앤씨, A013700, 1
지엠비코리아, A013870, 1
지누스, A013890, 1
한익스프레스, A014130, 1
대영포장, A014160, 1
금강공업, A014280, 1
금강공업우, A014285, 1
영보화학, A014440, 1
극동유화, A014530, 1
태경비케이, A014580, 1
한솔케미칼, A014680, 1
사조씨푸드, A014710, 1
한라, A014790, 1
동원시스템즈, A014820, 1
동원시스템즈우, A014825, 1
유니드, A014830, 1
성문전자, A014910, 1
성문전자우, A014915, 1
인디에프, A014990, 1
이스타코, A015020, 1
대창단조, A015230, 1
에이엔피, A015260, 1
부산가스, A015350, 1
예스코홀딩스, A015360, 1
쎌마테라퓨틱스, A015540, 1
큐로, A015590, 1
한국전력, A015760, 1
일진홀딩스, A015860, 1
태경산업, A015890, 1
대현, A016090, 1
삼성증권, A016360, 1
KG동부제철, A016380, 1
KG동부제철우, A016385, 1
한세예스24홀딩스, A016450, 1
환인제약, A016580, 1
신대양제지, A016590, 1
DB금융투자, A016610, 1
대성홀딩스, A016710, 1
두올, A016740, 1
퍼시스, A016800, 1
웅진, A016880, 1
광명전기, A017040, 1
명문제약, A017180, 1
우신시스템, A017370, 1
서울가스, A017390, 1
수산중공업, A017550, 1
SK텔레콤, A017670, 1
현대엘리베이, A017800, 1
풀무원, A017810, 1
광전자, A017900, 1
E1, A017940, 1
한국카본, A017960, 1
애경산업, A018250, 1
삼성에스디에스, A018260, 1
조일알미늄, A018470, 1
동원금속, A018500, 1
SK가스, A018670, 1
한온시스템, A018880, 1
신풍제약, A019170, 1
신풍제약우, A019175, 1
티에이치엔, A019180, 1
세아특수강, A019440, 1
하이트론, A019490, 1
대교, A019680, 1
대교우B, A019685, 1
한섬, A020000, 1
키다리스튜디오, A020120, 1
일진머티리얼즈, A020150, 1
아시아나항공, A020560, 1
일진디스플, A020760, 1
서원, A021050, 1
코웨이, A021240, 1
세원정공, A021820, 1
삼원강재, A023000, 1
MH에탄올, A023150, 1
한국종합기술, A023350, 1
동남합성, A023450, 1
롯데쇼핑, A023530, 1
다우기술, A023590, 1
인지컨트롤스, A023800, 1
인팩, A023810, 1
에쓰씨엔지니어링, A023960, 1
WISCOM, A024070, 1
디씨엠, A024090, 1
기업은행, A024110, 1
한국콜마홀딩스, A024720, 1
대원화성, A024890, 1
덕양산업, A024900, 1
KPX케미칼, A025000, 1
SJM홀딩스, A025530, 1
한국단자, A025540, 1
미래산업, A025560, 1
제이준코스메틱, A025620, 1
한솔홈데코, A025750, 1
이구산업, A025820, 1
남해화학, A025860, 1
한국주강, A025890, 1
디피씨, A026890, 1
부국철강, A026940, 1
동서, A026960, 1
BGF, A027410, 1
마니커, A027740, 1
세하, A027970, 1
