,date,close,diff,open,high,low,volume
242,2020-02-10,7170.0,30.0,7190.0,7290.0,7150.0,2263.0
243,2020-02-07,7200.0,130.0,7330.0,7390.0,7190.0,14787.0
244,2020-02-06,7330.0,180.0,7050.0,7330.0,7050.0,14781.0
245,2020-02-05,7150.0,40.0,7250.0,7280.0,7120.0,9594.0
249,2020-02-04,7110.0,80.0,7130.0,7250.0,7090.0,6460.0
250,2020-02-03,7030.0,160.0,7120.0,7140.0,6990.0,14897.0
251,2020-01-31,7190.0,60.0,7280.0,7320.0,7160.0,10622.0
252,2020-01-30,7250.0,170.0,7420.0,7440.0,7230.0,15434.0
253,2020-01-29,7420.0,140.0,7290.0,7520.0,7280.0,8582.0
256,2020-01-28,7280.0,220.0,7320.0,7560.0,7200.0,11050.0
257,2020-01-23,7500.0,50.0,7520.0,7660.0,7430.0,9129.0
258,2020-01-22,7550.0,90.0,7460.0,7560.0,7400.0,10007.0
259,2020-01-21,7460.0,130.0,7650.0,7650.0,7450.0,14177.0
260,2020-01-20,7590.0,60.0,7650.0,7670.0,7590.0,5194.0
264,2020-01-17,7650.0,40.0,7690.0,7700.0,7610.0,8904.0
265,2020-01-16,7690.0,10.0,7700.0,7700.0,7600.0,11961.0
266,2020-01-15,7700.0,80.0,7620.0,7760.0,7520.0,21358.0
267,2020-01-14,7620.0,30.0,7590.0,7710.0,7580.0,17243.0
268,2020-01-13,7590.0,80.0,7530.0,7590.0,7440.0,11162.0
271,2020-01-10,7510.0,10.0,7500.0,7640.0,7370.0,15248.0
272,2020-01-09,7500.0,90.0,7450.0,7600.0,7420.0,18235.0
273,2020-01-08,7410.0,270.0,7680.0,7690.0,7400.0,30792.0
274,2020-01-07,7680.0,20.0,7630.0,7740.0,7630.0,16573.0
275,2020-01-06,7700.0,0.0,7610.0,7710.0,7570.0,19674.0
279,2020-01-03,7700.0,30.0,7730.0,7820.0,7520.0,61580.0
280,2020-01-02,7730.0,70.0,7910.0,7940.0,7500.0,58776.0
281,2019-12-30,7800.0,500.0,8400.0,8840.0,7800.0,384404.0
282,2019-12-27,7300.0,40.0,7250.0,7420.0,7250.0,54380.0
283,2019-12-26,7340.0,0.0,7390.0,7450.0,7310.0,24657.0
286,2019-12-24,7340.0,80.0,7350.0,7470.0,7320.0,9199.0
287,2019-12-23,7420.0,40.0,7570.0,7730.0,7420.0,9501.0
288,2019-12-20,7460.0,10.0,7450.0,7650.0,7230.0,11532.0
289,2019-12-19,7450.0,80.0,7370.0,8370.0,7260.0,53631.0
290,2019-12-18,7370.0,0.0,7420.0,7420.0,7290.0,14670.0
294,2019-12-17,7370.0,20.0,7320.0,7450.0,7250.0,7432.0
295,2019-12-16,7350.0,70.0,7300.0,7410.0,7220.0,10328.0
296,2019-12-13,7280.0,0.0,7280.0,7380.0,7240.0,5642.0
297,2019-12-12,7280.0,80.0,7300.0,7300.0,7130.0,6437.0
298,2019-12-11,7200.0,130.0,7350.0,7350.0,7110.0,6604.0
